,Zipcode,Precinct
0,11421,"102 Precinct, Sector B"
1,11422,"105 Precinct, Sector A"
2,11423,"103 Precinct, Sector B"
3,11426,"105 Precinct, Sector E"
4,11427,"111 Precinct, Sector A"
5,11428,"105 Precinct, Sector D"
6,11429,"105 Precinct, Sector D"
7,11432,"107 Precinct, Sector C"
8,11433,"103 Precinct, Sector D"
9,11434,"113 Precinct, Sector B"
10,11435,"103 Precinct, Sector A"
11,11436,"113 Precinct, Sector A"
12,10451,"44 Precinct, Sector A"
13,10452,"44 Precinct, Sector B"
14,10453,"46 Precinct, Sector D"
15,10454,"40 Precinct, Sector A"
16,10455,"40 Precinct, Sector C"
17,10456,"44 Precinct, Sector C"
18,10457,"48 Precinct, Sector C"
19,10458,"48 Precinct, Sector A"
20,10459,"41 Precinct, Sector D"
21,10460,"42 Precinct, Sector B"
22,10461,"49 Precinct, Sector A"
23,10462,"49 Precinct, Sector A"
24,10463,"50 Precinct, Sector C"
25,10464,"45 Precinct, Sector C"
26,10465,"45 Precinct, Sector A"
27,10466,"47 Precinct, Sector A"
28,10467,"52 Precinct, Sector D"
29,10468,"52 Precinct, Sector C"
30,10469,"49 Precinct, Sector C"
31,10470,"47 Precinct, Sector B"
32,10471,"50 Precinct, Sector C"
33,10472,"43 Precinct, Sector D"
34,10473,"43 Precinct, Sector A"
35,10474,"41 Precinct, Sector A"
36,10475,"45 Precinct, Sector C"
37,10001,"10 Precinct, Sector C"
38,10002,"7 Precinct, Sector B"
39,10003,"9 Precinct, Sector D"
40,10004,"1 Precinct, Sector B"
41,10005,"1 Precinct, Sector A"
42,10006,"1 Precinct, Sector C"
43,10007,"1 Precinct, Sector C"
44,10009,"9 Precinct, Sector B"
45,10010,"13 Precinct, Sector D"
46,10011,"10 Precinct, Sector A"
47,10012,"1 Precinct, Sector D"
48,10013,"1 Precinct, Sector C"
49,10014,"6 Precinct, Sector D"
50,10016,"17 Precinct, Sector A"
