,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
92646,10/16/2018,120.0,STATEN ISLAND,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.64472613, -74.07748316]"
92694,10/16/2018,75.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.67110691, -73.88143296]"
92788,10/16/2018,43.0,BRONX,116,FELONY,SEX CRIMES,OBSCENE MATERIAL - UNDER 17 YE,"[40.8231013, -73.86969046]"
92816,10/16/2018,70.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.63036655, -73.97371261]"
92823,10/16/2018,42.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.82256992, -73.91130717]"
92828,10/16/2018,48.0,BRONX,104,FELONY,RAPE,RAPE 3,"[40.84390126, -73.90050463]"
92842,10/15/2018,14.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75393894, -73.99484365]"
93093,10/15/2018,109.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.76233422, -73.82691731]"
93143,10/15/2018,79.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.68887215, -73.94452903]"
93275,10/15/2018,18.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.76481827, -73.98518977]"
93315,10/15/2018,7.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.71650772, -73.9839199]"
93416,10/15/2018,13.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.73669807, -73.98331603]"
93516,10/15/2018,17.0,MANHATTAN,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.75687491, -73.97054406]"
93611,10/15/2018,114.0,QUEENS,104,FELONY,RAPE,RAPE 1,"[40.76930609, -73.91550818]"
93764,10/15/2018,42.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.82256992, -73.91130717]"
93781,10/15/2018,44.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.83732351, -73.91983076]"
93805,10/15/2018,62.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.60260318, -74.00308766]"
93872,10/15/2018,14.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75393894, -73.99484365]"
